,Year,Month,Monthly Anomaly
,1950,1,-2.010
,1950,2,-0.551
,1950,3,-0.310
,1950,4,1.363
,1950,5,-0.141
,1950,6,-0.870
,1950,7,0.141
,1950,8,0.629
,1950,9,0.063
,1950,10,0.232
,1950,11,2.522
,1950,12,2.016
,1951,1,-0.057
,1951,2,-0.540
,1951,3,0.127
,1951,4,-0.374
,1951,5,0.495
,1951,6,-0.946
,1951,7,-1.042
,1951,8,-0.800
,1951,9,-0.549
,1951,10,-0.189
,1951,11,0.230
,1951,12,-0.567
,1952,1,-1.233
,1952,2,-0.547
,1952,3,-1.168
,1952,4,0.669
,1952,5,0.943
,1952,6,-1.889
,1952,7,0.335
,1952,8,-0.446
,1952,9,0.617
,1952,10,0.200
,1952,11,-1.175
,1952,12,0.221
,1953,1,2.246
,1953,2,-0.035
,1953,3,-0.340
,1953,4,-0.447
,1953,5,-1.293
,1953,6,-1.091
,1953,7,0.443
,1953,8,-0.839
,1953,9,0.646
,1953,10,-0.462
,1953,11,0.309
,1953,12,1.135
,1954,1,0.247
,1954,2,-0.188
,1954,3,-1.248
,1954,4,1.704
,1954,5,0.466
,1954,6,-0.217
,1954,7,0.678
,1954,8,-1.602
,1954,9,-0.758
,1954,10,-0.465
,1954,11,-0.355
,1954,12,-1.120
,1955,1,-1.965
,1955,2,-1.403
,1955,3,-0.036
,1955,4,-1.918
,1955,5,0.344
,1955,6,-0.770
,1955,7,-1.139
,1955,8,-0.569
,1955,9,-0.533
,1955,10,-0.335
,1955,11,-0.588
,1955,12,1.282
,1956,1,0.792
,1956,2,-2.110
,1956,3,-0.315
,1956,4,-0.232
,1956,5,0.127
,1956,6,0.510
,1956,7,-0.681
,1956,8,-0.800
,1956,9,-0.033
,1956,10,-1.292
,1956,11,0.362
,1956,12,-0.300
,1957,1,-1.486
,1957,2,0.550
,1957,3,0.559
,1957,4,1.207
,1957,5,0.011
,1957,6,2.015
,1957,7,0.640
,1957,8,-0.358
,1957,9,0.441
,1957,10,-0.520
,1957,11,-0.709
,1957,12,-0.140
,1958,1,0.455
,1958,2,1.666
,1958,3,-1.356
,1958,4,0.686
,1958,5,1.196
,1958,6,0.843
,1958,7,-0.114
,1958,8,1.683
,1958,9,1.919
,1958,10,1.266
,1958,11,0.756
,1958,12,2.485
,1959,1,1.710
,1959,2,-0.614
,1959,3,2.058
,1959,4,2.377
,1959,5,0.178
,1959,6,1.209
,1959,7,1.225
,1959,8,0.568
,1959,9,-0.282
,1959,10,1.756
,1959,11,0.696
,1959,12,0.630
,1960,1,-0.114
,1960,2,-0.011
,1960,3,1.242
,1960,4,0.500
,1960,5,-0.118
,1960,6,2.080
,1960,7,0.752
,1960,8,-0.241
,1960,9,-0.452
,1960,10,-0.537
,1960,11,-0.682
,1960,12,-0.378
,1961,1,-1.111
,1961,2,0.933
,1961,3,-0.182
,1961,4,0.878
,1961,5,-1.268
,1961,6,1.717
,1961,7,1.614
