,Year,Month,Year_Decimal,CO2,Temperature
682,2015,1,2015.0417,400.18,12.634437
683,2015,2,2015.125,400.55,12.928256
684,2015,3,2015.2083,401.73,13.637708
685,2015,4,2015.2917,403.38,14.418036
686,2015,5,2015.375,404.16,15.438117
687,2015,6,2015.4583,402.97,16.169048
688,2015,7,2015.5417,401.46,16.38251
689,2015,8,2015.625,399.1,16.353533
690,2015,9,2015.7083,397.83,15.71311
691,2015,10,2015.7917,398.49,14.887529
692,2015,11,2015.875,400.34,13.756242
693,2015,12,2015.9583,402.06,13.204576
694,2016,1,2016.0417,402.67,12.992965
695,2016,2,2016.125,404.24,13.417176
696,2016,3,2016.2083,405.06,14.034858
697,2016,4,2016.2917,407.62,14.891102
698,2016,5,2016.375,407.9,15.676817
699,2016,6,2016.4583,407.01,16.24399
700,2016,7,2016.5417,404.58,16.589348
701,2016,8,2016.625,402.45,16.512527
702,2016,9,2016.7083,401.23,15.8039875
703,2016,10,2016.7917,401.81,14.78785
704,2016,11,2016.875,403.72,13.775173
705,2016,12,2016.9583,404.64,13.000657
706,2017,1,2017.0417,406.37,12.845386
707,2017,2,2017.125,406.66,13.228909
708,2017,3,2017.2083,407.55,13.908644
709,2017,4,2017.2917,409.23,14.689776
710,2017,5,2017.375,409.92,15.634065
711,2017,6,2017.4583,409.09,16.184704
712,2017,7,2017.5417,407.34,16.494429
713,2017,8,2017.625,405.3,16.407207
714,2017,9,2017.7083,403.56,15.725794
715,2017,10,2017.7917,403.83,14.805643
716,2017,11,2017.875,405.35,13.618314
717,2017,12,2017.9583,407.0,13.037024
718,2018,1,2018.0417,408.15,12.682593
719,2018,2,2018.125,408.52,12.992004
720,2018,3,2018.2083,409.58,13.682212
721,2018,4,2018.2917,410.44,14.666675
722,2018,5,2018.375,411.44,15.51334
723,2018,6,2018.4583,411.0,16.207798
724,2018,7,2018.5417,408.94,16.50715
725,2018,8,2018.625,407.17,16.319715
726,2018,9,2018.7083,405.71,15.64567
727,2018,10,2018.7917,406.18,14.800863
728,2018,11,2018.875,408.22,13.608583
729,2018,12,2018.9583,409.27,12.996131
730,2019,1,2019.0417,411.03,12.726231
731,2019,2,2019.125,411.96,13.03777
732,2019,3,2019.2083,412.18,13.917166
733,2019,4,2019.2917,413.61,14.798772
734,2019,5,2019.375,414.9,15.618273
735,2019,6,2019.4583,414.15,16.351402
736,2019,7,2019.5417,411.96,16.625692
737,2019,8,2019.625,410.17,16.467312
738,2019,9,2019.7083,408.76,15.824982
739,2019,10,2019.7917,408.74,14.899426
740,2019,11,2019.875,410.47,13.77526
741,2019,12,2019.9583,411.97,13.204629
